time,index,clicks,spacebar,game won
00:45.812,,,true,
00:45.931,,,true,
00:46.050,,,true,
00:46.168,,,true,
00:46.287,,,true,
00:46.406,,,true,
00:46.524,,,true,
00:46.643,,,true,
00:46.761,,,true,
00:46.880,,,true,
00:46.999,,,true,
00:47.118,,,true,
00:47.236,,,true,
00:47.355,,,true,
00:47.473,,,true,
00:47.592,,,true,
00:47.711,,,true,
00:47.829,,,true,
00:47.948,,,true,
00:48.067,,,true,
00:48.185,,,true,
00:48.304,,,true,
00:48.423,,,true,
00:48.541,,,true,
00:48.660,,,true,
00:48.778,,,true,
00:48.897,,,true,
00:49.016,,,true,
00:49.134,,,true,
00:49.253,,,true,
00:49.372,,,true,
00:49.490,,,true,
00:49.609,,,true,
00:49.728,,,true,
00:49.846,,,true,
00:49.965,,,true,
00:50.083,,,true,
00:50.202,,,true,
00:50.321,,,true,
00:50.439,,,true,
00:50.558,,,true,
00:50.677,,,true,
00:50.795,,,true,
00:50.914,,,true,
00:51.033,,,true,
00:51.151,,,true,
00:51.270,,,true,
00:51.388,,,true,
00:51.507,,,true,
00:51.626,,,true,
00:51.744,,,true,
00:51.863,,,true,
00:51.982,,,true,
00:52.100,,,true,
00:52.219,,,true,
00:52.338,,,true,
00:52.456,,,true,
00:52.575,,,true,
00:52.693,,,true,
00:52.812,,,true,
00:52.931,,,true,
00:53.049,,,true,
00:53.168,,,true,
00:53.287,,,true,
00:53.405,,,true,
00:53.524,,,true,
00:53.643,,,true,
00:53.761,,,true,
00:53.880,,,true,
00:53.998,,,true,
00:54.117,,,true,
00:54.236,,,true,
00:54.354,,,true,
00:54.473,,,true,
00:54.592,,,true,
00:54.710,,,true,
00:54.829,,,true,
00:54.948,,,true,
00:55.066,,,true,
00:55.185,,,true,
00:55.303,,,true,
00:55.422,,,true,
00:55.541,,,true,
00:55.659,,,true,
00:55.778,,,true,
00:55.897,,,true,
00:56.015,,,true,
00:56.134,,,true,
00:56.253,,,true,
00:56.371,,,true,
00:56.490,,,true,
00:56.609,,,true,
00:56.727,,,true,
00:56.846,,,true,
00:56.964,,,true,
00:57.083,,,true,
00:57.205,,,true,
00:57.323,,,true,
00:57.442,,,true,
00:57.561,,,true,
00:57.679,,,true,
00:57.798,,,true,
00:57.917,,,true,
00:58.035,,,true,
00:58.154,,,true,
00:58.272,,,true,
00:58.391,,,true,
00:58.510,,,true,
00:58.628,,,true,
00:58.748,,,true,
00:58.867,,,true,
00:58.985,,,true,
00:59.104,,,true,
00:59.223,,,true,
00:59.341,,,true,
00:59.460,,,true,
00:59.578,,,true,
00:59.697,,,true,
00:59.816,,,true,
00:59.934,,,true,
01:00.053,,,true,
01:00.172,,,true,
01:00.290,,,true,
01:00.409,,,true,
01:00.528,,,true,
01:00.646,,,true,
01:00.765,,,true,
01:00.884,,,true,
01:01.002,,,true,
01:01.121,,,true,
01:01.239,,,true,
01:01.358,,,true,
01:01.477,,,true,
01:01.595,,,true,
01:01.713,,,true,
01:01.833,,,true,
01:01.951,,,true,
01:02.070,,,true,
01:02.189,,,true,
01:02.307,,,true,
01:02.426,,,true,
01:02.544,,,true,
01:02.663,,,true,
01:02.782,,,true,
01:02.900,,,true,
01:03.019,,,true,
01:03.138,,,true,
01:03.256,,,true,
01:03.375,,,true,
01:03.493,,,true,
01:03.612,,,true,
01:03.731,,,true,
01:03.849,,,true,
01:03.968,,,true,
01:04.087,,,true,
01:04.205,,,true,
01:04.324,,,true,
01:04.443,,,true,
01:04.561,,,true,
01:04.680,,,true,
01:04.799,,,true,
01:04.917,,,true,
01:05.036,,,true,
01:05.154,,,true,
01:05.273,,,true,
01:05.392,,,true,
01:05.510,,,true,
01:05.629,,,true,
01:05.748,,,true,
01:05.866,,,true,
01:05.985,,,true,
01:06.104,,,true,
01:06.222,,,true,
01:06.341,,,true,
01:06.459,,,true,
01:06.578,,,true,
01:06.696,,,true,
01:06.815,,,true,
01:06.934,,,true,
01:07.053,,,true,
01:07.171,,,true,
01:07.290,,,true,
01:07.409,,,true,
01:07.527,,,true,
01:07.646,,,true,
01:07.764,,,true,
01:07.883,,,true,
01:08.002,,,true,
01:08.120,,,true,
01:08.239,,,true,
01:08.358,,,true,
01:08.476,,,true,
01:08.595,,,true,
01:08.714,,,true,
01:08.832,,,true,
01:08.951,,,true,
01:09.019,12,0,,
01:09.069,,,true,
01:09.188,,,true,
01:09.307,,,true,
01:09.425,,,true,
01:09.544,,,true,
01:09.663,,,true,
01:09.781,,,true,
01:09.900,,,true,
01:10.019,,,true,
01:10.137,,,true,
01:10.256,,,true,
01:10.375,,,true,
01:10.493,,,true,
01:10.612,,,true,
01:10.730,,,true,
01:10.849,,,true,
01:10.968,,,true,
01:11.086,,,true,
01:11.205,,,true,
01:11.324,,,true,
01:11.442,,,true,
01:11.561,,,true,
01:11.679,,,true,
01:11.798,,,true,
01:11.917,,,true,
01:12.035,,,true,
01:12.154,,,true,
01:12.273,,,true,
01:12.391,,,true,
01:12.510,,,true,
01:12.629,,,true,
01:12.747,,,true,
01:12.866,,,true,
01:12.985,,,true,
01:13.103,,,true,
01:13.222,,,true,
01:13.340,,,true,
01:13.459,,,true,
01:13.578,,,true,
01:13.696,,,true,
01:13.815,,,true,
01:13.934,,,true,
01:14.020,13,0,,
01:14.052,,,true,
01:14.171,,,true,
01:14.290,,,true,
01:14.408,,,true,
01:14.527,,,true,
01:14.645,,,true,
01:14.764,,,true,
01:14.883,,,true,
01:15.001,,,true,
01:15.120,,,true,
01:15.239,,,true,
01:15.357,,,true,
01:15.476,,,true,
01:15.595,,,true,
01:15.713,,,true,
01:15.832,,,true,
01:15.950,,,true,
01:16.069,,,true,
01:16.188,,,true,
01:16.307,,,true,
01:16.426,,,true,
01:16.545,,,true,
01:16.663,,,true,
01:16.782,,,true,
01:16.901,,,true,
01:17.019,,,true,
01:17.022,14,0,,
01:17.138,,,true,
01:17.256,,,true,
01:17.375,,,true,
01:17.494,,,true,
01:17.612,,,true,
01:17.731,,,true,
01:17.850,,,true,
01:17.968,,,true,
01:18.087,,,true,
01:18.206,,,true,
01:18.324,,,true,
01:18.443,,,true,
01:18.562,,,true,
01:18.680,,,true,
01:18.799,,,true,
01:18.917,,,true,
01:19.036,,,true,
01:19.155,,,true,
01:19.273,,,true,
01:19.392,,,true,
01:19.511,,,true,
01:19.629,,,true,
01:19.748,,,true,
01:19.867,,,true,
01:19.985,,,true,
01:20.023,15,0,,
01:20.104,,,true,
01:20.222,,,true,
01:20.341,,,true,
01:20.460,,,true,
01:20.578,,,true,
01:20.697,,,true,
01:20.816,,,true,
01:20.934,,,true,
01:21.053,,,true,
01:21.172,,,true,
01:21.290,,,true,
01:21.409,,,true,
01:21.527,,,true,
01:21.645,,,true,
01:21.765,,,true,
01:23.024,16,0,,
01:25.775,17,0,,
01:28.776,18,0,,
01:33.777,19,0,,
01:36.778,20,0,,
01:39.779,21,0,,
01:44.780,22,0,,
01:47.780,23,0,,
02:01.582,24,4,,
02:06.078,,,true,
02:06.718,,,true,
02:07.077,,,true,
02:07.461,,,true,
02:07.869,,,true,
02:08.245,,,true,
02:08.661,,,true,
02:08.958,,,true,
02:09.079,25,4,,
02:09.206,,,true,
02:09.454,,,true,
02:09.646,,,true,
02:10.158,,,true,
02:10.277,,,true,
02:10.395,,,true,
02:10.514,,,true,
02:10.632,,,true,
02:11.680,26,1,,
02:11.918,,,true,
02:12.478,,,true,
02:12.694,,,true,
02:12.910,,,true,
02:13.110,,,true,
02:13.286,,,true,
02:13.486,,,true,
02:13.686,,,true,
02:13.886,,,true,
02:14.070,,,true,
02:14.310,,,true,
02:14.558,,,true,
02:14.680,27,1,,
02:14.822,,,true,
02:15.118,,,true,
02:15.342,,,true,
02:17.682,28,0,,
02:20.682,29,0,,
04:53.386,,,,1
