time,index,clicks,spacebar,game won
00:48.384,,,true,
00:48.503,,,true,
00:48.622,,,true,
00:48.740,,,true,
00:48.859,,,true,
00:48.978,,,true,
00:49.096,,,true,
00:49.215,,,true,
00:49.334,,,true,
00:49.452,,,true,
00:49.571,,,true,
00:49.689,,,true,
00:49.808,,,true,
00:49.927,,,true,
00:50.045,,,true,
00:50.164,,,true,
00:50.282,,,true,
00:50.401,,,true,
00:50.520,,,true,
00:50.639,,,true,
00:50.758,,,true,
00:50.877,,,true,
00:50.996,,,true,
00:51.114,,,true,
00:51.233,,,true,
00:51.351,,,true,
00:51.470,,,true,
00:51.589,,,true,
00:51.707,,,true,
00:51.826,,,true,
00:51.945,,,true,
00:52.063,,,true,
00:52.182,,,true,
00:52.301,,,true,
00:52.419,,,true,
00:52.538,,,true,
00:52.656,,,true,
00:52.775,,,true,
00:52.894,,,true,
00:53.012,,,true,
00:53.131,,,true,
00:53.250,,,true,
00:53.368,,,true,
00:53.487,,,true,
00:53.606,,,true,
00:53.724,,,true,
00:53.843,,,true,
00:53.961,,,true,
00:54.080,,,true,
00:54.199,,,true,
00:54.317,,,true,
00:54.436,,,true,
00:54.555,,,true,
00:54.673,,,true,
00:54.792,,,true,
00:54.911,,,true,
00:55.029,,,true,
00:55.148,,,true,
00:55.266,,,true,
00:55.385,,,true,
00:55.504,,,true,
00:55.622,,,true,
00:55.741,,,true,
00:55.860,,,true,
00:56.018,,,true,
00:56.538,,,true,
00:56.706,,,true,
00:57.215,,,true,
00:57.334,,,true,
00:57.453,,,true,
00:57.571,,,true,
00:57.690,,,true,
00:57.809,,,true,
00:57.927,,,true,
00:58.046,,,true,
00:58.165,,,true,
00:58.283,,,true,
00:58.402,,,true,
00:58.521,,,true,
00:58.639,,,true,
00:58.758,,,true,
00:58.877,,,true,
00:59.057,,,true,
00:59.306,,,true,
00:59.610,,,true,
00:59.794,,,true,
00:59.978,,,true,
01:00.226,,,true,
01:00.474,,,true,
01:00.698,,,true,
01:00.914,,,true,
01:01.113,,,true,
01:01.622,,,true,
01:01.741,,,true,
01:01.859,,,true,
01:01.978,,,true,
01:02.097,,,true,
01:02.215,,,true,
01:02.334,,,true,
01:02.453,,,true,
01:02.571,,,true,
01:02.690,,,true,
01:02.809,,,true,
01:02.927,,,true,
01:03.046,,,true,
01:03.164,,,true,
01:03.283,,,true,
01:03.402,,,true,
01:03.520,,,true,
01:03.639,,,true,
01:03.758,,,true,
01:03.876,,,true,
01:03.995,,,true,
01:04.114,,,true,
01:04.232,,,true,
01:04.385,,,true,
01:04.585,,,true,
01:04.785,,,true,
01:05.065,,,true,
01:05.281,,,true,
01:05.513,,,true,
01:05.857,,,true,
01:06.368,,,true,
01:06.486,,,true,
01:06.605,,,true,
01:06.724,,,true,
01:06.842,,,true,
01:06.961,,,true,
01:07.079,,,true,
01:07.198,,,true,
01:07.317,,,true,
01:07.435,,,true,
01:07.554,,,true,
01:07.673,,,true,
01:07.791,,,true,
01:07.910,,,true,
01:08.029,,,true,
01:08.147,,,true,
01:08.267,,,true,
01:08.386,,,true,
01:08.504,,,true,
01:08.623,,,true,
01:08.741,,,true,
01:08.860,,,true,
01:08.979,,,true,
01:09.013,12,2,,
01:09.097,,,true,
01:09.216,,,true,
01:09.335,,,true,
01:09.453,,,true,
01:09.572,,,true,
01:11.602,,,true,
01:12.786,,,true,
01:13.682,,,true,
01:14.015,13,2,,
01:14.026,,,true,
01:14.346,,,true,
01:14.674,,,true,
01:14.994,,,true,
01:15.274,,,true,
01:15.530,,,true,
01:15.834,,,true,
01:16.098,,,true,
01:16.410,,,true,
01:16.714,,,true,
01:17.016,14,0,,
01:17.058,,,true,
01:17.457,,,true,
01:17.778,,,true,
01:18.106,,,true,
01:18.497,,,true,
01:18.866,,,true,
01:19.186,,,true,
01:19.514,,,true,
01:19.817,,,true,
01:20.017,15,0,,
01:20.153,,,true,
01:20.481,,,true,
01:20.785,,,true,
01:21.089,,,true,
01:21.377,,,true,
01:21.673,,,true,
01:21.985,,,true,
01:22.329,,,true,
01:22.713,,,true,
01:23.018,16,0,,
01:23.081,,,true,
01:23.409,,,true,
01:24.001,,,true,
01:24.673,,,true,
01:25.129,,,true,
01:25.577,,,true,
01:25.770,17,0,,
01:25.994,,,true,
01:26.570,,,true,
01:27.010,,,true,
01:27.338,,,true,
01:27.714,,,true,
01:28.058,,,true,
01:28.522,,,true,
01:28.771,18,0,,
01:28.994,,,true,
01:29.714,,,true,
01:30.458,,,true,
01:31.058,,,true,
01:31.634,,,true,
01:32.538,,,true,
01:33.170,,,true,
01:33.771,19,0,,
01:34.282,,,true,
01:34.762,,,true,
01:36.772,20,0,,
01:39.773,21,0,,
01:41.409,,,true,
01:41.993,,,true,
01:42.321,,,true,
01:42.548,,,true,
01:42.820,,,true,
01:43.845,,,true,
01:44.517,,,true,
01:44.805,,,true,
01:45.157,,,true,
01:45.685,,,true,
01:46.005,,,true,
01:46.333,,,true,
01:46.605,,,true,
01:46.846,25,2,,
01:46.933,,,true,
01:47.245,,,true,
01:47.541,,,true,
01:47.877,,,true,
01:48.229,,,true,
01:48.581,,,true,
01:48.973,,,true,
01:49.333,,,true,
01:49.447,26,0,,
01:49.589,,,true,
01:50.013,,,true,
01:50.341,,,true,
01:50.781,,,true,
01:51.197,,,true,
01:51.517,,,true,
01:51.853,,,true,
01:52.197,,,true,
01:52.448,27,0,,
01:53.069,,,true,
01:53.349,,,true,
01:53.597,,,true,
01:53.933,,,true,
01:54.300,,,true,
01:55.449,28,0,,
01:55.764,,,true,
01:56.476,,,true,
01:56.780,,,true,
01:57.132,,,true,
01:57.444,,,true,
01:57.788,,,true,
01:58.450,29,0,,
05:22.790,,,,1
