time,index,clicks,spacebar,restartpart1,restartpart2,game won
00:58.473,,,true,,,
00:58.673,,,true,,,
00:58.873,,,true,,,
00:59.753,,,true,,,
01:00.073,,,true,,,
01:00.873,,,true,,,
01:02.561,,,true,,,
01:02.977,,,true,,,
01:03.163,,,true,,,
01:03.324,10,10,,,,
01:03.547,,,true,,,
01:04.324,11,1,,,,
01:05.579,,,true,,,
01:05.771,,,true,,,
01:05.939,,,true,,,
01:06.123,,,true,,,
01:06.292,,,true,,,
01:08.131,,,true,,,
01:08.307,,,true,,,
01:08.467,,,true,,,
01:08.635,,,true,,,
01:08.811,,,true,,,
01:08.979,,,true,,,
01:09.163,,,true,,,
01:09.339,,,true,,,
01:09.539,,,true,,,
01:10.899,,,true,,,
01:11.083,,,true,,,
01:11.283,,,true,,,
01:11.459,,,true,,,
01:11.675,,,true,,,
01:11.843,,,true,,,
01:12.051,,,true,,,
01:12.235,,,true,,,
01:12.419,,,true,,,
01:12.611,,,true,,,
01:12.811,,,true,,,
01:13.739,,,true,,,
01:13.907,,,true,,,
01:14.075,,,true,,,
01:14.251,,,true,,,
01:14.427,,,true,,,
01:14.611,,,true,,,
01:14.771,,,true,,,
01:14.955,,,true,,,
01:15.123,,,true,,,
01:15.291,,,true,,,
01:15.483,,,true,,,
01:15.675,,,true,,,
01:15.859,,,true,,,
01:16.027,,,true,,,
01:16.203,10,26,,,,
01:16.363,,,true,,,
01:16.523,,,true,,,
01:17.204,11,1,,,,
01:47.774,,,,1,,
01:47.774,10,1,,,,
01:48.731,,,true,,,
01:48.775,11,3,,,,
01:48.931,,,true,,,
01:50.467,,,true,,,
01:50.835,,,true,,,
01:51.051,,,true,,,
01:51.259,,,true,,,
01:51.475,,,true,,,
01:52.963,,,true,,,
01:53.123,,,true,,,
01:53.339,,,true,,,
01:53.531,,,true,,,
01:53.715,,,true,,,
01:53.891,,,true,,,
01:54.059,,,true,,,
01:54.227,,,true,,,
01:54.683,,,true,,,
01:56.500,,,true,,,
01:56.668,,,true,,,
01:56.843,,,true,,,
01:57.028,,,true,,,
01:57.244,,,true,,,
01:57.452,,,true,,,
01:58.132,,,true,,,
01:58.323,,,true,,,
01:58.515,,,true,,,
01:58.691,,,true,,,
01:58.860,,,true,,,
01:59.027,,,true,,,
01:59.195,,,true,,,
01:59.380,,,true,,,
01:59.539,,,true,,,
01:59.707,,,true,,,
01:59.891,,,true,,,
02:00.059,,,true,,,
02:00.251,,,true,,,
02:00.443,,,true,,,
02:00.603,,,true,,,
02:00.891,,,true,,,
02:01.379,,,true,,,
02:01.573,,,true,,,
02:01.739,,,true,,,
02:01.915,,,true,,,
02:02.099,,,true,,,
02:02.283,,,true,,,
02:02.467,,,true,,,
02:02.651,,,true,,,
02:02.835,,,true,,,
02:03.027,,,true,,,
02:03.750,,,true,,,
02:03.934,,,true,,,
02:04.118,,,true,,,
02:04.278,,,true,,,
02:04.478,,,true,,,
02:04.654,,,true,,,
02:04.830,,,true,,,
02:05.006,,,true,,,
02:05.182,,,true,,,
02:05.342,,,true,,,
02:06.102,,,true,,,
02:06.254,,,true,,,
02:06.422,,,true,,,
02:06.598,,,true,,,
02:06.766,,,true,,,
02:06.934,,,true,,,
02:07.134,,,true,,,
02:07.318,,,true,,,
02:07.502,,,true,,,
02:08.631,,,true,,,
02:08.814,,,true,,,
02:08.982,,,true,,,
02:09.150,,,true,,,
02:09.318,,,true,,,
02:09.542,,,true,,,
02:09.710,,,true,,,
02:09.902,,,true,,,
02:10.102,,,true,,,
02:10.350,,,true,,,
02:11.174,,,true,,,
02:11.318,,,true,,,
02:11.534,,,true,,,
02:11.669,,,true,,,
02:11.886,,,true,,,
02:12.246,,,true,,,
02:12.438,,,true,,,
02:12.622,,,true,,,
02:12.814,,,true,,,
02:13.023,,,true,,,
02:13.238,,,true,,,
02:13.807,,,true,,,
02:13.990,,,true,,,
02:14.166,,,true,,,
02:14.334,,,true,,,
02:14.503,,,true,,,
02:14.663,,,true,,,
02:14.822,,,true,,,
02:14.998,,,true,,,
02:15.175,,,true,,,
02:15.335,,,true,,,
02:15.534,,,true,,,
02:15.734,,,true,,,
02:16.566,,,true,,,
02:16.759,,,true,,,
02:16.934,,,true,,,
02:17.142,,,true,,,
02:17.342,,,true,,,
02:17.526,,,true,,,
02:17.718,,,true,,,
02:17.894,,,true,,,
02:19.780,12,73,,,,
02:23.270,,,true,,,
02:24.430,,,true,,,
02:24.782,13,2,,,,
02:26.374,,,true,,,
02:26.590,,,true,,,
02:26.774,,,true,,,
02:26.974,,,true,,,
02:27.783,14,0,,,,
02:29.014,,,true,,,
02:29.214,,,true,,,
02:29.390,,,true,,,
02:29.582,,,true,,,
02:29.766,,,true,,,
02:30.785,15,0,,,,
02:31.615,,,true,,,
02:31.783,,,true,,,
02:31.958,,,true,,,
02:33.786,16,0,,,,
02:36.537,17,0,,,,
02:38.918,,,true,,,
02:39.094,,,true,,,
02:39.538,18,0,,,,
02:44.538,19,0,,,,
02:47.539,20,0,,,,
02:49.839,,,true,,,
02:50.006,,,true,,,
02:50.183,,,true,,,
02:50.358,,,true,,,
02:50.542,21,9,,,,
02:53.638,,,true,,,
02:55.718,,,true,,,
02:56.639,25,25,,,,
02:58.407,,,true,,,
02:58.582,,,true,,,
02:58.766,,,true,,,
02:58.982,,,true,,,
02:59.198,,,true,,,
02:59.240,26,11,,,,
02:59.486,,,true,,,
03:02.241,27,13,,,,
03:05.245,28,0,,,,
03:08.246,29,0,,,,
03:14.083,,,,,1,
03:20.483,,,,,1,
05:25.821,,,,,,1
