time,index,clicks,spacebar,restartpart2,game won
00:52.531,,,true,,
00:52.731,,,true,,
00:52.947,,,true,,
00:53.179,,,true,,
00:53.411,,,true,,
00:53.635,,,true,,
00:54.787,,,true,,
00:54.987,,,true,,
00:55.187,,,true,,
00:55.403,,,true,,
00:55.627,,,true,,
00:55.851,,,true,,
00:56.075,,,true,,
00:56.859,,,true,,
00:57.060,,,true,,
00:57.404,,,true,,
00:57.580,,,true,,
00:57.740,,,true,,
00:57.932,,,true,,
00:58.108,,,true,,
00:58.292,,,true,,
00:58.468,,,true,,
00:58.668,,,true,,
00:58.876,,,true,,
00:59.068,,,true,,
00:59.292,,,true,,
00:59.740,,,true,,
01:00.300,,,true,,
01:00.548,,,true,,
01:00.804,,,true,,
01:01.068,,,true,,
01:01.268,,,true,,
01:01.548,,,true,,
01:01.772,,,true,,
01:01.980,,,true,,
01:02.188,,,true,,
01:02.396,,,true,,
01:02.628,,,true,,
01:02.868,,,true,,
01:03.076,,,true,,
01:03.340,,,true,,
01:03.563,,,true,,
01:03.804,,,true,,
01:04.051,,,true,,
01:04.324,,,true,,
01:04.572,,,true,,
01:04.796,,,true,,
01:05.028,,,true,,
01:05.276,,,true,,
01:05.499,,,true,,
01:05.723,,,true,,
01:05.955,,,true,,
01:06.195,,,true,,
01:06.763,,,true,,
01:07.107,,,true,,
01:07.347,,,true,,
01:07.579,,,true,,
01:07.763,,,true,,
01:07.979,,,true,,
01:08.203,,,true,,
01:08.451,,,true,,
01:08.683,,,true,,
01:08.999,12,7,,,
01:11.275,,,true,,
01:14.000,13,2,,,
01:14.884,,,true,,
01:16.196,,,true,,
01:17.002,14,2,,,
01:20.003,15,1,,,
01:23.004,16,1,,,
01:25.755,17,0,,,
01:28.171,,,true,,
01:28.690,,,true,,
01:28.756,18,0,,,
01:28.808,,,true,,
01:28.927,,,true,,
01:29.046,,,true,,
01:29.164,,,true,,
01:29.283,,,true,,
01:29.402,,,true,,
01:29.520,,,true,,
01:29.639,,,true,,
01:29.757,,,true,,
01:29.876,,,true,,
01:29.995,,,true,,
01:30.113,,,true,,
01:30.232,,,true,,
01:30.351,,,true,,
01:30.469,,,true,,
01:30.588,,,true,,
01:30.707,,,true,,
01:33.757,19,0,,,
01:36.757,20,0,,,
01:39.758,21,5,,,
01:44.758,22,0,,,
01:47.758,23,0,,,
01:51.086,,,true,,
01:53.590,,,true,,
01:54.070,,,true,,
01:54.087,25,7,,,
01:54.365,,,true,,
01:55.110,,,true,,
01:55.462,,,true,,
01:55.846,,,true,,
01:56.181,,,true,,
01:56.606,,,true,,
01:56.687,26,0,,,
01:58.533,,,true,,
01:58.862,,,true,,
01:59.688,27,2,,,
02:02.690,28,0,,,
02:05.691,29,0,,,
02:12.335,,,,1,
03:58.949,,,,1,
04:14.909,,,,1,
04:52.445,,,,,1
